状态,文件路径,分类目录,功能/玩法分类,所属模块,备注,需要主团队评估
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/chat/msg/VoiceChatMessage.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/coc/PlayerCocMgr.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/BasePlayerCondition.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/PlayerCheckConditionProgress.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/PlayerConditionProgress.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/PlayerNR3E8TaskProgress.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/group/AcquireEquipPopUpEquipSlotConditionGroup.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/group/TaskPlayerCheckConditionGroup.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/group/TaskPlayerConditionGroup.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/ConditionGameModeReturnStartDayInterval.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/ConditionPlayerBattleEventStatistics.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/ConditionPlayerBattleEventStatisticsPlus.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/ConditionPlayerMatchTypeEnable.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/ConditionPlayerUgcMatchPlayModeSelectEnableQuit.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/ConditionTypePlayerMapByRoom.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/ConditionTypePlayerMapTime.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8BuildingLevel.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8BuildingStar.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8CityLevel.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8Destory.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8DestoryFromRevenge.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8DestoryWithoutFactor.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8Dice.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8DonateCard.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8GetMoneyByBuilding.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8GetMoneyByConsume.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8GetMoneyByTax.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8ItemConsume.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8ItemOp.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8OnlineTime.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8PassByBuilding.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8SameDice.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8StayOnBuilding.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8StayOnBuildingWithoutFactor.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8Steal.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/main/nr3e/ConditionPlayerNr3e8StealWithoutFactor.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/SubConditionChargeInsideLimit.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/SubConditionChargeType.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/SubConditionGameModeReturnId.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/SubConditionItemQuality.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only A,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/SubConditionScenePackageIceBreakMissionLimit.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/SubConditionScenePackageIceBreakOpLimit.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/arena/SubConditionArenaHeroId.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/arena/SubConditionArenaIsMvp.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/arena/SubConditionArenaIsWin.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/battle/SubConditionPlayerSkillGrade.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/farm/SubConditionFarmFishQualityMatch.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/nr3e8/AbstractNr3e8SubCondition.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/nr3e8/SubConditionNr3e8BuildingId.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/nr3e8/SubConditionNr3e8BuildingLevel.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/nr3e8/SubConditionNr3e8BuildingStar.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/nr3e8/SubConditionNr3e8BuildingType.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/nr3e8/SubConditionNr3e8ItemId.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/condition/sub/nr3e8/SubConditionNr3e8ItemType.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/GamesvrPbMsgHandlerFactory.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/activity/ReturnActivityOfflineRewardMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/arena/ArenaSelectFrameMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/arena/ClientSetDSParamMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/arena/ExchangeShardMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/arena/GetArenaBlockInfoMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/arena/GetArenaGameInfoMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/arena/SetPackTagMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/arena/SetSprayPaintMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/arena/UseSprayPaintMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/battle/BattleGetOngoingDsAddrMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/competition/CompetitionCommonMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookCalculateCookOpenIncomeMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookCalculateDishIncomeMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookCloseMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookCreateMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookDeleteCommentMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookDoSettlementMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookEmployeeOpMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookEnterMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookEvictBadGuyMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookExitMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookFetchVisitantInfoMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookFireFriendMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookForwardToDSMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookGetCommentMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookGetOfflineIncomeMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookHireFriendMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookLevelUpMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookOpenMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookPoachFriendMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookSendCommentFoodMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookSendCommentMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookSendCommentPhotoMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookSetClientKVMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookSetEffectiveCustomerFlowMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookSetFloatingScreenContentMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookVisitantCancelProtectMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookVisitantPrebookMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookVisitantServeMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/cook/CookVisitantStealMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/dressup/SetAppearanceRoadShowMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/event/ReportEventMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmBatchReadSignatureMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmChangeSignatureMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmDeleteLiuYanMessageMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmFetchFunctionOpenTimeMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmGetFarmDynamicInfoMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmGetHotSpringBuffMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmGetLiuYanMessageMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmGetPartyListMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmInvokeNpcMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmPartyCloseMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmPartyPublishMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmPetCatFishingMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmPetTameMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmSendGiftMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmSendLiuYanMessageMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmSetLiuYanMessagePermissionMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmTagRedFoxMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/FarmTaskFinishRemainTasksMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/gridOperator/Steal.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/farm/gridOperator/StealFish.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/gamemodereturn/GameModeReturnInfoMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/gamemodereturn/GameModeReturnOpenedSlapFaceMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/gamemodereturn/GameModeReturnStartMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/house/HouseDecorateMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/house/HouseExtendMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/house/HouseFurnitureBuyMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/house/HouseFurnitureBuyReplaceMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/house/HouseFurnitureSellMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/house/HouseItemInteractMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/information/PlayerSettingHomePageMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/information/SearchPlayerMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/lobby/SceneGetPlayerSceneIdMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/match/MatchTypeListMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/player/HeartBeatMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/player/LoginMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/player/PlayerLevelEstimationMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/player/SingleBattleKeepAliveMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/player/SingleBattleSettlementMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/player/SingleBattleStartMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/reddot/ClickGeneralRedDotMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/relation/RemoveRelationMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/rich/Nr3e8BoardEnterMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/rich/Nr3e8BoardExitMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/rich/Nr3e8CommonMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/rich/Nr3e8TaskRewardRecvMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only B,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/rich/Nr3e8TaskWeekActivityRewardRecvMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/room/RoomCommonBroadcastMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only A,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/room/RoomConfirmEnterMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/room/RoomInvitationReplyCheckMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Both,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/room/RoomStartMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only A,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/room/StarPJoinRecruitMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only A,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/room/StarPRecruitPublishMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
Only A,WeA/projects/gamesvr/src/main/java/com/tencent/wea/playerservice/cshandler/handler/room/StarPRecruitQueryMsgHandler.java,WeA/projects/gamesvr,gamesvr,gamesvr,,
